id,mig_year,autumn_locs,autumn_start,autumn_end,spring_locs,spring_start,spring_end,mean_spring,prop_locs_in_mag
REKI_401,2017,179,2017-09-17T03:01:00Z,2017-09-30T17:01:00Z,296,2018-03-11T07:00:00Z,2018-03-31T18:01:00Z,2018-03-21T12:30:30Z,0
REKI_402,2017,141,2017-09-17T03:01:00Z,2017-09-30T18:01:00Z,191,2018-04-08T05:09:00Z,2018-04-21T19:01:00Z,2018-04-15T00:05:00Z,0
REKI_403,2017,152,2017-09-17T03:01:00Z,2017-09-30T19:01:00Z,95,2018-03-25T05:09:00Z,2018-03-31T19:00:00Z,2018-03-28T12:04:30Z,0
REKI_411,2017,159,2017-09-17T03:05:00Z,2017-09-30T19:01:00Z,329,2018-03-25T00:06:00Z,2018-04-21T19:01:09Z,2018-04-07T21:33:34.500Z,0.167173252279635
REKI_416,2017,760,2017-09-17T05:30:00Z,2017-10-07T17:30:00Z,466,2018-05-20T03:05:00Z,2018-06-16T21:00:00Z,2018-06-03T00:02:30Z,0.360515021459227
REKI_421,2017,66,2017-09-17T00:01:00Z,2017-09-30T19:01:00Z,182,2018-03-18T05:09:00Z,2018-03-31T19:01:00Z,2018-03-25T00:05:00Z,0.593406593406593
REKI_422,2017,341,2017-09-17T03:00:00Z,2017-10-28T18:05:00Z,292,2018-03-18T05:09:00Z,2018-04-07T19:01:00Z,2018-03-28T12:05:00Z,0
REKI_425,2017,147,2017-10-08T03:05:00Z,2017-11-04T13:01:00Z,271,2018-04-01T05:00:00Z,2018-04-21T21:01:05Z,2018-04-11T13:00:32.500Z,0
REKI_426,2017,101,2017-09-17T03:03:00Z,2017-09-30T18:00:00Z,101,2018-04-15T05:08:00Z,2018-04-21T19:01:00Z,2018-04-18T12:04:30Z,0.0297029702970297
REKI_43,2016,274,2016-10-02T03:00:00Z,2016-10-22T21:00:00Z,239,2017-04-02T03:00:00Z,2017-04-15T21:00:00Z,2017-04-09T00:00:00Z,0
REKI_430,2017,428,2017-10-08T05:09:00Z,2017-11-18T19:01:00Z,281,2018-03-11T06:01:00Z,2018-04-07T19:01:00Z,2018-03-25T00:31:00Z,0
REKI_437,2017,238,2017-09-17T03:01:00Z,2017-10-14T19:01:00Z,395,2018-03-25T05:09:00Z,2018-04-21T19:00:56Z,2018-04-08T00:04:58Z,0
REKI_438,2017,124,2017-09-10T03:01:00Z,2017-09-23T19:01:00Z,97,2018-04-22T05:09:22Z,2018-04-28T19:00:00Z,2018-04-25T12:04:41Z,0
REKI_440,2017,81,2017-11-26T05:01:00Z,2017-12-09T19:01:00Z,48,2018-01-28T06:00:00Z,2018-02-03T18:01:00Z,2018-01-31T12:00:30Z,0
REKI_442,2017,16,2017-12-10T06:00:00Z,2018-01-07T05:01:00Z,10,2018-01-07T05:01:00Z,2018-01-13T12:01:00Z,2018-01-10T08:31:00Z,0
